Date,F1,F2,(F2-F1)/F1
2007-11-28,24.56,24.66,0.004071661
2007-11-29,24.86,24.77,-0.003620274
2007-11-30,24.19,24.37,0.007441091
2007-12-03,24.29,24.56,0.011115685
2007-12-04,24.48,24.83,0.014297386
2007-12-05,23.06,23.95,0.03859497
2007-12-06,21.67,22.94,0.058606368
2007-12-07,21.97,23.27,0.059171598
2007-12-10,21.28,22.92,0.077067669
2007-12-11,22.92,23.91,0.043193717
2007-12-12,22.19,23.76,0.070752591
2007-12-13,22.04,23.95,0.086660617
2007-12-14,22.64,24.66,0.089222615
2007-12-17,23.75,25.45,0.071578947
2007-12-18,22.55,24.57,0.089578714
2007-12-19,24.42,24.38,-0.001638002
2007-12-20,24.17,24.1,-0.002896152
2007-12-21,23.1,23.29,0.008225108
2007-12-24,22.18,22.95,0.03471596
2007-12-26,22.02,22.79,0.034968211
2007-12-27,22.72,23.52,0.035211268
2007-12-28,22.81,23.72,0.039894783
2007-12-31,23.12,24.19,0.046280277
2008-01-02,23.86,24.49,0.026404023
2008-01-03,23.42,24.52,0.046968403
2008-01-04,24.68,25.3,0.025121556
2008-01-07,24.12,24.81,0.028606965
2008-01-08,25.54,25.9,0.014095536
2008-01-09,24.89,25.78,0.035757332
2008-01-10,24.07,24.95,0.036560033
2008-01-11,24.96,26.15,0.047676282
2008-01-14,23.36,25.1,0.074486301
2008-01-15,24.04,25.24,0.049916805
2008-01-16,24.99,25.03,0.00160064
2008-01-17,26.97,26.62,-0.012977382
2008-01-18,27.24,26.71,-0.019456681
2008-01-22,27.73,26.38,-0.048683736
2008-01-23,26.4,25.3,-0.041666667
2008-01-24,26.43,25.34,-0.041241014
2008-01-25,26.75,25.8,-0.035514019
2008-01-28,26.16,25.37,-0.030198777
2008-01-29,26.25,25.25,-0.038095238
2008-01-30,26.14,25.56,-0.022188217
2008-01-31,25.64,25.31,-0.012870515
2008-02-01,24.95,24.66,-0.011623246
2008-02-04,25.81,25.56,-0.009686168
2008-02-05,27.39,26.92,-0.017159547
2008-02-06,28.19,27.6,-0.020929408
2008-02-07,27.62,27.25,-0.01339609
2008-02-08,28.39,27.63,-0.026769989
2008-02-11,27.88,26.97,-0.032639885
2008-02-12,27.06,26.72,-0.012564671
2008-02-13,26,25.81,-0.007307692
2008-02-14,26.28,26.18,-0.003805175
2008-02-15,26.07,25.93,-0.005370157
2008-02-19,25.61,25.7,0.003514252
2008-02-20,25.45,25.41,-0.001571709
2008-02-21,25.42,25.45,0.001180173
2008-02-22,24.87,24.83,-0.001608363
2008-02-25,24.17,24.34,0.007033513
2008-02-26,23.71,24.18,0.01982286
2008-02-27,23.88,24.45,0.023869347
2008-02-28,24.58,25.1,0.021155411
2008-02-29,26.1,26.36,0.009961686
2008-03-03,26.16,26.25,0.003440367
2008-03-04,25.72,25.79,0.002721617
2008-03-05,24.83,25.38,0.022150624
2008-03-06,26.76,26.99,0.008594918
2008-03-07,26.91,26.87,-0.001486436
2008-03-10,27.75,27.6,-0.005405405
2008-03-11,26.11,26.09,-0.00076599
2008-03-12,26.68,26.92,0.008995502
